Sparsity,Method,Post-Pruning Accuracy,Finetuned Accuracy
0.1,random,0.7628,0.84024
0.2,random,0.64764,0.82388
0.3,random,0.56064,0.80608
0.4,random,0.51224,0.78688
0.5,random,0.50128,0.74184
0.6,random,0.5016,0.51832
0.7,random,0.49976,0.50412
0.8,random,0.50008,0.50012
0.9,random,0.49956,0.5018
